Record,Date,UTC Time,Alarms
1,5/1/2023,8:43:54,Pump P-903 ON
2,5/2/2023,9:43:54,BTEX Skid Bypass Alarm
3,5/3/2023,10:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
4,5/4/2023,11:43:54,Pump P-903 ON
5,5/5/2023,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
6,5/6/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
7,5/7/2023,14:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
8,5/20/2023,22:43:31,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
9,5/20/2023,15:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
10,5/21/2023,22:43:36,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
11,5/21/2023,16:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
12,5/22/2023,22:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
13,5/22/2023,17:43:54,Pump P-903 ON
14,5/23/2023,23:43:54,Pump P-903 ON
15,5/23/2023,18:43:54,BTEX Skid Bypass Alarm
16,5/24/2023,0:43:54,BTEX Skid Bypass Alarm
17,5/24/2023,19:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
18,5/25/2023,1:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
19,5/25/2023,20:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
20,5/26/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
21,5/26/2023,21:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
22,5/27/2023,3:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
23,5/27/2023,22:43:54,Pump P-903 ON
24,5/27/2023,23:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
25,5/27/2023,0:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
26,5/27/2023,1:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
27,5/28/2023,4:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
28,5/29/2023,5:43:54,Pump P-903 ON
29,5/30/2023,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
30,5/31/2023,7:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
31,5/31/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
32,6/1/2023,3:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
33,6/2/2023,4:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
34,6/3/2023,5:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
35,6/4/2023,6:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
36,6/5/2023,7:43:54,Pump P-903 ON
37,6/6/2023,8:43:54,BTEX Skid Bypass Alarm
38,6/6/2023,9:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
39,6/6/2023,10:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
40,6/6/2023,11:43:54,Pump P-903 ON
41,6/10/2023,12:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
42,6/11/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
43,6/12/2023,14:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
44,6/13/2023,15:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
45,6/14/2023,16:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
46,6/15/2023,17:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
47,6/16/2023,18:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
48,6/16/2023,19:43:54,Pump P-903 ON
49,6/16/2023,20:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
50,6/16/2023,21:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
51,6/16/2023,22:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
52,6/16/2023,23:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
53,6/16/2023,0:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
54,6/16/2023,1:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
55,6/16/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
56,6/16/2023,3:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
57,6/16/2023,4:43:54,Pump P-903 ON
58,6/16/2023,5:43:54,BTEX Skid Bypass Alarm
59,6/16/2023,6:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
60,6/16/2023,7:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
61,6/16/2023,8:43:54,Pump P-903 ON
62,6/16/2023,9:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
63,6/17/2023,10:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
64,6/18/2023,11:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
65,6/19/2023,12:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
66,6/20/2023,13:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
67,6/21/2023,14:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
68,6/22/2023,15:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
69,6/22/2023,16:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
70,6/22/2023,17:43:54,Pump P-903 ON
71,6/22/2023,18:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
72,6/22/2023,19:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
73,6/27/2023,20:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
74,6/28/2023,21:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
75,6/29/2023,22:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
76,6/30/2023,23:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
77,7/1/2023,0:43:54,Pump P-903 ON
78,7/2/2023,1:43:54,BTEX Skid Bypass Alarm
79,7/3/2023,2:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
80,7/4/2023,3:43:54,Pump P-904 ON                                                                                                                                                                                                                                                 
81,7/5/2023,4:43:54,Pump P-903 ON
82,7/6/2023,5:43:54,TK-900 Low Level Alarm                                                                                                                                                                                                                                        
83,7/7/2023,6:43:54,Customer ESD Contact Alarm                                                                                                                                                                                                                                    
